has_webRequest,has_all_urls,has_cookies,has_clipboardRead,has_nativeMessaging,has_tabs,has_history,has_downloads,has_storage,has_background_script,has_content_scripts,host_permission_count,total_permission_count,content_script_entropy,has_webRequestBlocking,has_scripting,has_management,has_webNavigation,has_contextMenus,has_proxy,has_declarativeNetRequest,web_accessible_resources,eval_count,atob_count,function_ctor_count,xhr_fetch_count,websocket_count,exec_script_count,keydown_listener,cookie_in_code,long_string_count,hex_escape_count,external_url_count,label
NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,2,3,5.36,NO,NO,NO,NO,NO,NO,YES,YES,0,0,2,0,0,0,YES,2,0,0,5,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,0,0,5.54,NO,NO,NO,NO,NO,NO,NO,NO,0,0,0,0,0,0,YES,0,0,0,0,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,0,1,4.85,NO,NO,NO,NO,NO,NO,NO,YES,0,0,0,0,0,1,NO,0,0,0,1,BENIGN
NO,NO,NO,NO,NO,YES,NO,NO,YES,YES,YES,0,3,5.43,NO,NO,NO,NO,NO,NO,NO,YES,0,0,0,0,0,0,NO,0,0,0,1,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,0,2,4.91,NO,NO,NO,NO,NO,NO,NO,NO,0,0,2,0,0,0,YES,0,0,0,21,BENIGN
NO,NO,NO,NO,NO,YES,NO,NO,YES,YES,YES,0,5,5.51,NO,NO,NO,NO,NO,NO,NO,YES,0,1,0,2,0,29,YES,0,5,0,7,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,0,2,5.34,NO,NO,NO,NO,NO,NO,NO,YES,0,3,0,2,0,0,YES,0,0,0,8,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0,2,5.44,NO,NO,NO,NO,NO,NO,NO,NO,0,0,0,0,0,0,YES,2,0,0,15,BENIGN
NO,YES,YES,NO,NO,YES,NO,NO,YES,YES,YES,0,9,5.59,NO,NO,NO,NO,YES,NO,NO,YES,0,0,1,0,0,0,YES,0,0,0,12,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,0,8,4.81,NO,NO,NO,NO,YES,NO,NO,NO,0,0,0,17,0,0,NO,0,0,0,1,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,0,1,5.23,NO,NO,NO,NO,NO,NO,NO,NO,0,0,0,0,1,0,YES,0,0,0,0,BENIGN
