ext_id,name,reason,ok,error,size,perms,host_perms,js_len,has_signal,eval_count,atob_count
kcpjmfgfjglnkkklpfnlkmbhkndmplfc,Gic Wallet Pro,Bundling Unwanted Software,False,Empty response for extension kcpjmfgfjglnkkklpfnlkmbhkndmplf,0,0,0,0,False,0,0
ppcnenbpoiidkikcfofneihmjcnillpn,Velvet Rose Bloom,Bundling Unwanted Software,False,Empty response for extension ppcnenbpoiidkikcfofneihmjcnillp,0,0,0,0,False,0,0
lpcmlaeiogmdlfkbamjadfegnmonghok,Internet Archive Download,Malware,False,Empty response for extension lpcmlaeiogmdlfkbamjadfegnmongho,0,0,0,0,False,0,0
lhmcajhgadanidbopgaoobjlldegjmke,Defi Pulse Tracker,Malware,False,Empty response for extension lhmcajhgadanidbopgaoobjlldegjmk,0,0,0,0,False,0,0
odhadpdionnnghcdgnfnaebbchninonm,Real Tennis,Malware,True,,9282818,0,0.0,300003,True,0.0,1.0
gfackggoapepdmnjnkblogdcjpgcjiak,Crypto Price Badge Quick,Malware,False,Empty response for extension gfackggoapepdmnjnkblogdcjpgcjia,0,0,0,0,False,0,0
menihhcicpgkoakckmlcjnclmpmlijmi,Foosball,Malware,True,,4728489,0,0.0,300002,True,0.0,0.0
ahpnnnjbnfbhoikhohglpohnoocjcoco,Blockfolio Address Monito,Malware,False,Empty response for extension ahpnnnjbnfbhoikhohglpohnoocjcoc,0,0,0,0,False,0,0
pkoccklolohdacbfooifnpebakpbeipc,Enable Right Click Copy —,Malware,False,Empty response for extension pkoccklolohdacbfooifnpebakpbeip,0,0,0,0,False,0,0
mfdemjihbpojomhhimkifcakpkpcblbo,Kahoot Hacker,Malware,False,Empty response for extension mfdemjihbpojomhhimkifcakpkpcblb,0,0,0,0,False,0,0
oeacadlaclegkkkdehjmiifnjhcekclj,Crypto Rates Fiat Convert,Malware,False,Empty response for extension oeacadlaclegkkkdehjmiifnjhcekcl,0,0,0,0,False,0,0
gefiaaeadjbmhjndnhedfccdjjlgjhho,Enhanced Image Viewer,Malware,False,Empty response for extension gefiaaeadjbmhjndnhedfccdjjlgjhh,0,0,0,0,False,0,0
beegkppfeeiogaaoipeooedoognlmmmn,Whiteowl Side Panel,Malware,False,Empty response for extension beegkppfeeiogaaoipeooedoognlmmm,0,0,0,0,False,0,0
iekoapohahgmogbagegmcgplbkikcgke,Private Crypto News Reade,Malware,False,Empty response for extension iekoapohahgmogbagegmcgplbkikcgk,0,0,0,0,False,0,0
klhdlmakggjklhafembcfpopdoideecl,Botzaper Premium,Malware,True,,9366994,5,7.0,300053,True,0.0,0.0
pfjmmolepmnahcgkllpghjljckfceped,Wa Zap CRM,Malware,True,,1234013,4,0.0,300002,True,1.0,1.0
ohibhgeifebcakbamnjejmiacfpdcfcj,Zeepower,Malware,True,,1295488,4,0.0,300002,True,1.0,1.0
ofpfpnpgkibkonfjoghmnficjkjbejld,Ultra Zap,Malware,True,,1212652,4,0.0,300002,True,1.0,1.0
nmeanacecjaeehhnllemepiamnnjjnai,MestreZap,Malware,True,,1207323,4,0.0,300002,True,1.0,1.0
ogckebjiloagfejjlfbengnojollodok,MkZap,Malware,True,,1198794,4,0.0,300002,True,1.0,1.0
pbmamapophlbilpebhgnoehifkjpdbla,Fluxo de Vendas: Chatbots e Funis para Automação no WhatsApp,Malware,True,,1190650,4,0.0,300002,True,1.0,1.0
nomnnfchhlokbbdgbejhbnflmmajnlbf,Ycone,Malware,True,,1311616,4,0.0,300002,True,1.0,1.0
kkhbcdgijplfpiblhdpapoianmiakinf,RoboZapp,Malware,True,,3566035,4,0.0,300002,True,1.0,1.0
mdeaegfppbmpljfffjnjnjeommoblmgo,ZapForce,Malware,True,,2015117,4,0.0,300002,True,1.0,1.0
klieoamgkjdifblmnpeoeadgldlhglap,Sellerwork,Malware,True,,1881282,4,0.0,300002,True,1.0,1.0
kapcccinheakeipidaaochjncmkecool,Maiq,Malware,True,,1468065,4,0.0,300002,True,1.0,1.0
djfbpkgafgcknijjgmoldomghdemdjad,Converzap,Malware,False,Empty response for extension djfbpkgafgcknijjgmoldomghdemdja,0,0,0,0,False,0,0
lonkdibaepflfbfdkfeejjjekonnpfeb,Myboot,Malware,True,,1592713,4,0.0,300002,True,1.0,1.0
kagfhgkohdbolahilhojelmfnlmkaoml,Biz Sale Chat & CRM,Malware,True,,1256399,4,0.0,300002,True,1.0,1.0
kgeoaboengoploflchdggbnccnihbgdl,"DBX Whats: Automação, CRM e Chatbot para Vendas no WhatsApp Web",Malware,True,,1196278,4,0.0,300002,True,1.0,1.0
gepjikckcmlklakiniglifgbldceeddn,Projeta Zap,Malware,True,,1199834,4,0.0,300002,True,1.0,1.0
fnepmeaeejjjdbldkdmkcgjiibdjkpll,ATENDO DO ZAP,Malware,True,,1200449,4,0.0,300002,True,1.0,1.0
gonmakbkkncdgejaigbfmghibjfodlbl,Conectadus CRM,Malware,True,,1192652,4,0.0,300002,True,1.0,1.0
encjmpakgahilbjfjopbcihjdepnaain,VEXA INOVAÇÃO,Malware,True,,1208919,4,0.0,300002,True,1.0,1.0
dndghkdbfjemnphakkneamfgdogapome,Zaplyn,Malware,True,,1188814,4,0.0,300002,True,1.0,1.0
fbemdjfgkgelekpahnmkjpokgjgbaalh,FLOW 5.0,Malware,True,,1199408,4,0.0,300002,True,1.0,1.0
copnaadapceaedmofpjahmjpinbnkeeh,FQ Sales CRM,Malware,False,Empty response for extension copnaadapceaedmofpjahmjpinbnkee,0,0,0,0,False,0,0
cccjliinaicnnekojhijooohoadnlafa,Zap Gestor CRM,Malware,True,,1239490,4,0.0,300002,True,1.0,1.0
bnhpnlfigdbfgohmihdljbggimddocga,ZapForce,Malware,True,,2003868,4,0.0,300002,True,1.0,1.0
ckknpnhlibplhgffgchcgjadedcmkecb,WaveZap CRM,Malware,False,Empty response for extension ckknpnhlibplhgffgchcgjadedcmkec,0,0,0,0,False,0,0
bagcdfmmpkeajdkjepfebgobnkebdmep,À Venda - CRM,Malware,True,,1252614,4,0.0,300002,True,1.0,1.0
amkjgolajakcmcbfehdgifahpnncnldb,Cresça & Apareça CRM,Malware,True,,1835188,4,0.0,300002,True,1.0,1.0
ejneoebfkhbnoojphdpbijbpaabplmhj,Nexus CRM,Malware,True,,1204746,4,0.0,300002,True,1.0,1.0
annkmbjplpkcmlgdcmlafodkcfhnggfo,ZapyPrime,Malware,True,,1741482,4,0.0,300002,True,1.0,1.0
dgcmienmgppcgifalmokjfgkmlopdbcc,Luma Conecta,Malware,True,,7940014,4,1.0,300024,True,0.0,0.0
dedjgblojekhdhcoilnidmjedicmojao,"ChatBlink - CRM no WhatsApp, Automações e Ferramentas. Piscou, vendeu!",Malware,True,,1188786,4,0.0,300002,True,1.0,1.0
fmjcdfedpdpgegomehbbdakblcdnkdfj,Whatsapp Contacts Exporte,Malware,True,,1046464,3,1.0,300001,True,0.0,0.0
jdihogecojffhidcdpcnpgbbegaeofnj,IMPAR CRM,Malware,True,,1197246,4,0.0,300002,True,1.0,1.0
foeccfenpiledeklckhgialmcefbeklp,Igget Ig Follower Exporte,Malware,False,Empty response for extension foeccfenpiledeklckhgialmcefbekl,0,0,0,0,False,0,0
kcenbgdhbonmleimiamngcdfflinldpf,Discord Exporter Chat Att,Malware,True,,810101,4,1.0,300001,True,0.0,0.0
gjnkcmipmfefifmlabnljnpcikmngooo,"Zap4Biz: Automação, CRM e Chatbot para WhatsApp Web",Malware,True,,1691229,4,0.0,300002,True,1.0,1.0
hkedgndilpkicenklokipnpbfjcheddo,Twitterx Exporter Export,Malware,True,,746564,4,2.0,300000,True,0.0,0.0
fejalehlkcncbmmaeljpnjdffjjkildd,Fliphtml5 Anyflip Downloa,Malware,True,,925689,5,1.0,300001,True,0.0,0.0
ipbgdicbhbblkaabpgkhkhebjjfdcbah,Whatsapp Number Generator,Malware,True,,1100021,3,1.0,300001,True,0.0,0.0
gbfehnilmikecbbenafhoceeckfpoojh,Whatsapp Scraper Bulk Sen,Malware,True,,1338576,3,1.0,300001,True,0.0,0.0
pnmdogboalmhbaikfonpanaaimjjkmnc,Chrysalis Net — ?????-??? ??? ????????,Malware,False,Empty response for extension pnmdogboalmhbaikfonpanaaimjjkmn,0,0,0,0,False,0,0
bmkapdbmhpmkfpcdcmghcbjilkkodlbd,Bridge In The Clouds,Bundling Unwanted Software,False,Empty response for extension bmkapdbmhpmkfpcdcmghcbjilkkodlb,0,0,0,0,False,0,0
pmopenbpbdkofefipfjnakgpocddjobl,?????? VPN,Malware,False,Empty response for extension pmopenbpbdkofefipfjnakgpocddjob,0,0,0,0,False,0,0
pmoklpaiibmefnbldjfikbecomgmmknk,??? ?????? — ???????????? VPN ??????,Malware,False,Empty response for extension pmoklpaiibmefnbldjfikbecomgmmkn,0,0,0,0,False,0,0
lgpapkgacdhaanjgeejfknognambcajb,Whatsapp Bulk Message Sen,Malware,True,,1302129,3,1.0,300001,True,0.0,0.0
dcmoiapnniffbbfhdkmnkbfcmkehncai,Unfollower Follower Track,Malware,True,,755467,4,4.0,300002,True,0.0,0.0
pllfcoakeflgbkedpkjgeglpijbcglfa,??????? VPN – ?????? proxy ??? ?????? ?????? ? ??????????,Malware,False,Empty response for extension pllfcoakeflgbkedpkjgeglpijbcglf,0,0,0,0,False,0,0
plkdbgeokfldgdamikjmepdpombmjfph,???? VPN — ??????? ??? ??? Chrome,Malware,False,Empty response for extension plkdbgeokfldgdamikjmepdpombmjfp,0,0,0,0,False,0,0
pmkjjplpgocdgcbcfdmdfbccmmodegee,?? VPN — ?????? proxy-?????? ??? ???????? ????????,Malware,False,Empty response for extension pmkjjplpgocdgcbcfdmdfbccmmodege,0,0,0,0,False,0,0
pmlimkmmldkplmocpbliebchefehmcnd,?????? Proxy,Malware,False,Empty response for extension pmlimkmmldkplmocpbliebchefehmcn,0,0,0,0,False,0,0
plkcdnmapghhjojokadckclgoenhnonh,Kolkhoznet — ????? ?????????? ?????,Malware,False,Empty response for extension plkcdnmapghhjojokadckclgoenhnon,0,0,0,0,False,0,0
pmmjbkfejbgdoiepogbkehefnemjodkb,Goose Proxy,Malware,False,Empty response for extension pmmjbkfejbgdoiepogbkehefnemjodk,0,0,0,0,False,0,0
plhaiopikaoikekidbgddgpjdfckbjle,????????? VPN,Malware,False,Empty response for extension plhaiopikaoikekidbgddgpjdfckbjl,0,0,0,0,False,0,0
