L1,L2,L3,L4,L5,L6,label
0.9984,0.9991,0.0,0.0,0.0,1.0,1
0.5641,0.273,0.9062,0.0,0.0,1.0,0
0.5641,0.1005,0.9062,0.0,0.0,1.0,0
0.8664,0.1905,0.9062,0.0,0.0,1.0,0
0.1038,0.4524,0.9062,0.0,0.0,1.0,0
0.3785,0.251,0.9062,0.0,0.0,1.0,0
0.6432,0.0495,0.9062,0.0,0.0,1.0,0
0.6424,0.0351,0.9062,0.0,0.0,1.0,0
0.6424,0.9585,0.9062,0.0,0.0,1.0,1
0.9951,0.9987,0.9062,0.0,0.0,1.0,1
0.1494,0.735,0.9062,0.0,0.0,1.0,0
0.5694,0.1046,0.9062,0.0,0.0,1.0,0
0.962,0.9884,0.0,0.0,0.0,1.0,1
0.6432,0.9993,0.0,0.0,0.0,1.0,1
0.5641,0.3047,0.0,0.0,0.0,1.0,0
0.764,0.1103,0.0,0.0,0.0,1.0,0
0.4289,0.2038,0.9062,0.0,0.0,1.0,0
0.15,0.1047,0.0,0.0,0.0,1.0,0
0.9998,0.4231,0.0,0.0,0.0,1.0,1
0.5641,0.1635,0.9062,0.0,0.0,1.0,0
0.6432,0.9697,0.9062,0.0,0.0,1.0,1
0.9909,0.999,0.9062,0.0,0.0,1.0,1
0.5641,0.1047,0.9062,0.0,0.0,1.0,0
0.6424,0.8009,0.9062,0.0,0.0,1.0,0
0.85,0.1106,0.9062,0.0,0.0,1.0,0
0.6432,0.1902,0.9062,0.0,0.0,1.0,1
0.6432,0.2252,0.9062,0.0,0.0,1.0,0
0.3287,0.1354,0.9062,0.0,0.0,1.0,0
0.6424,0.177,0.9062,0.0,0.0,1.0,0
0.4,0.1046,0.0,0.0,0.0,1.0,0
0.65,0.1005,0.0,0.0,0.0,1.0,0
0.0463,0.1047,0.9062,0.0,0.0,1.0,0
0.9981,0.9564,0.0,0.0,0.0,1.0,1
0.94,0.9693,0.0,0.0,0.0,1.0,1
0.6432,0.8337,0.9062,0.0,0.0,1.0,1
0.764,0.2387,0.9062,0.0,0.0,1.0,0
0.9885,0.0963,0.0,0.0,0.0,1.0,0
0.6424,0.3767,0.9062,0.0,0.0,1.0,1
0.6424,0.5572,0.9062,0.0,0.0,1.0,0
0.6759,0.0983,0.9062,0.0,0.0,1.0,0
0.6432,0.8781,0.0,0.0,0.0,1.0,1
0.6759,0.5187,0.0,0.0,0.0,1.0,1
0.8664,0.9902,0.0,0.0,0.0,1.0,1
0.8288,0.2003,0.9062,0.0,0.0,1.0,1
0.6432,0.8916,0.9062,0.0,0.0,1.0,1
0.9956,0.4169,0.0,0.0,0.0,1.0,1
0.764,0.1103,0.9062,0.0,0.0,1.0,0
0.9862,0.968,0.0,0.0,0.0,1.0,1
0.4176,0.1726,0.9062,0.0,0.0,1.0,0
0.0661,0.0351,0.9062,0.0,0.0,1.0,0
0.129,0.0759,0.9062,0.0,0.0,1.0,0
0.7323,0.0982,0.9062,0.0,0.0,1.0,0
0.5641,0.9149,0.0,0.0,0.0,1.0,1
