n_iframes,has_fixed_iframe,max_zindex,full_viewport,drag_prevent,n_forms,n_inputs,n_pw_inputs,n_hidden_inputs,n_ext_scripts,form_ext_action,title_brand,favicon_brand,has_overlay,has_redirect,html_size_kb,label
0,0,1050,1,0,0,17,0,11,2,0,0,0,0,1,81,0
0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,1
0,0,0,0,0,1,5,1,0,8,0,0,0,1,1,10,1
0,0,4,0,0,0,3,1,0,0,0,0,0,0,0,4,1
1,1,0,0,0,2,7,0,3,0,0,0,0,0,1,110,0
0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,21,0
1,0,9999,1,0,0,4,0,4,3,0,1,0,0,0,73,0
0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,487,0
1,1,9999,1,1,1,5,1,1,29,0,0,0,1,0,269,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1
0,0,11,1,0,1,5,0,1,2,0,0,0,0,0,20,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,7,0,0,1,1,0,42,0
0,0,0,0,0,2,21,1,13,1,0,0,0,0,0,16,0
0,0,0,0,0,1,6,0,1,0,0,0,1,0,0,54,0
1,1,9999,1,1,0,0,0,0,1,0,0,1,1,0,413,0
0,0,0,0,0,2,3,0,0,22,0,0,0,1,0,78,0
0,0,0,0,1,1,9,0,1,0,0,0,0,0,0,7,1
0,0,0,1,0,1,4,0,0,1,0,0,0,1,0,26,1
0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,54,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0
0,0,9999,1,0,1,4,0,2,8,1,0,0,0,1,64,0
0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,34,0
1,0,0,0,0,4,21,1,4,16,0,0,0,0,0,64,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
1,0,0,0,0,0,1,0,0,4,0,0,0,0,1,1184,0
0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,1
0,0,0,0,0,2,5,0,2,1,0,0,1,0,0,44,1
0,0,9999,1,1,1,1,0,0,11,0,0,0,1,1,443,1
1,0,0,0,0,1,2,0,0,0,0,0,0,1,0,135,1
1,0,0,0,0,2,8,2,1,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,5,0
0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,79,0
0,0,100,1,1,1,3,1,0,0,0,0,0,0,0,25,1
0,0,0,0,0,19,144,25,64,0,1,0,0,1,1,78,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,8,0,0,1,2,0,0,0,0,0,0,0,0,3,1
0,0,0,0,0,1,1,0,0,3,0,0,0,1,0,43,0
1,0,0,0,0,2,7,1,2,2,0,0,0,1,0,92,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,4,1
1,0,0,1,0,0,0,0,0,30,0,0,0,0,1,541,0
1,1,0,0,0,0,1,0,0,8,0,0,0,0,1,267,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0,1031,1,0,0,0,0,0,1,0,0,0,0,1,103,0
0,0,0,0,0,1,8,0,0,1,0,0,0,1,0,542,0
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,61,0
0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,4,0
0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,6,1
0,0,9999,1,0,1,13,1,9,0,0,0,0,1,0,85,1
0,0,0,0,0,1,8,0,1,0,0,0,0,0,0,5,1
1,0,0,0,0,2,7,0,4,10,0,1,0,0,1,175,0
1,1,1080,1,1,1,6,1,2,4,0,1,0,1,1,136,0
0,0,9999,1,0,6,20,0,8,19,0,0,0,0,0,354,0
0,0,0,0,0,4,8,0,3,9,0,0,0,1,1,151,0
0,0,0,0,0,2,6,1,1,0,1,0,0,0,1,15,1
0,0,9999,0,0,1,5,0,3,0,0,0,0,0,0,41,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,21,0,0,2,4,0,0,23,0,0,0,1,0,61,0
0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,6,0
0,0,9999,0,0,3,6,0,0,50,0,1,0,1,0,143,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0
1,0,0,0,0,3,5,0,1,1,0,0,0,0,0,55,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,9999,1,0,0,2,1,0,1,0,0,0,1,1,113,1
1,0,2,1,0,3,8,0,5,1,0,0,0,0,0,70,0
0,0,0,0,0,1,15,1,13,1,0,1,0,0,0,82,0
