label,request_count,iat_mean_ms,iat_cv,iat_bowley_skewness,iat_mad_ms
1,11,118565.2533,0.032088,-0.040441,2416.0765
1,12,104890.4635,0.782118,0.2824,28704.579
1,15,84920.3121,1.470534,0.76318,23516.7
1,6,177982.8714,0.734251,0.44329,77034.565
1,19,63370.4903,0.066746,0.967051,89.8
1,24,51946.5497,0.640131,0.152396,15622.734
1,9,149767.2481,0.758517,-0.007122,115102.9505
1,11,113375.3878,0.030793,-0.049461,2566.159
1,6,42537.071,0.031525,0.077068,317.337
1,11,112294.6979,0.040961,-0.213567,4069.523
1,8,134091.2294,0.834377,0.987101,2940.066
1,25,49224.8402,0.311701,0.236742,9658.197
1,20,62814.5214,0.059611,0.988063,15.792
1,8,134029.981,0.838856,0.987283,2911.313
1,26,47293.5091,1.493589,0.385749,1167.538
1,8,133455.306,0.846673,0.978037,5003.255
1,17,58575.3933,1.4551,-0.998338,53948.5215
1,8,91183.102,0.416721,-0.964836,2020.441
1,34,35859.3379,0.43727,0.95074,6869.255
1,5,16250.5015,1.050946,0.502015,5228.678
1,5,13922.195,0.530549,-0.164113,4928.195
1,8,133630.4844,0.830435,0.967542,6621.833
1,22,55200.0318,0.442639,0.351107,4098.889
1,23,54299.0515,0.531906,0.507513,3659.797
1,11,119546.1185,0.037261,0.370308,2521.0015
1,20,60861.6207,9e-05,0.874278,1.486
1,11,116055.1664,0.034572,0.056751,2579.5005
1,24,50507.081,0.7549,0.21088,15707.113
1,19,65267.7368,0.286262,0.250742,21.543
1,11,110782.747,0.025116,-0.166806,2972.9785
1,9,128478.3459,1.004041,0.478067,54561.6615
1,14,29472.2138,2.318144,0.196757,3849.571
1,9,144769.7753,0.834678,0.786638,34752.815
1,20,60827.0966,0.607856,0.65576,3054.579
1,20,56064.2586,0.503807,0.826059,3163.612
1,12,104996.5578,0.218245,-0.04109,2808.353
1,15,79118.1986,0.922121,0.44483,23902.891
1,38,32008.3835,0.535429,0.217205,4657.09
1,7,197344.7912,1.409336,0.95192,11167.1795
1,9,13624.667,0.730133,0.248093,8440.2675
1,10,123301.924,0.015883,-0.279261,1464.591
1,7,60461.7488,0.32301,0.037718,2202.959
1,11,117001.5434,0.030748,0.56073,1741.5865
1,5,290123.1427,1.26352,0.451793,104859.804
1,20,62805.4128,0.064977,0.797036,10.088
1,62,19539.6951,0.342123,-0.424712,2718.317
1,12,108876.219,1.179248,0.260969,30327.975
1,14,90001.9843,0.716693,0.283461,2082.247
1,23,54449.2384,0.392729,0.642093,4098.0785
1,15,84628.5639,1.443351,0.503978,3233.368
1,8,164128.6551,1.613312,0.354197,49588.551
1,15,79714.7644,1.732828,0.387858,20867.988
1,20,63040.5942,0.069868,0.984843,9.576
1,25,49731.8311,0.347447,0.365117,2968.6135
1,24,51633.2214,0.298856,0.358221,10214.934
1,20,60864.8849,9.9e-05,-0.807718,1.614
1,5,21950.9495,0.021228,-0.361134,203.1315
1,11,114674.5897,0.036193,0.448757,1801.6375
1,11,119839.7796,0.88888,0.834511,35463.794
1,19,57233.8971,0.663421,0.491279,3425.83
1,9,149330.6735,0.752794,-0.00282,112077.3865
1,5,112925.2905,0.062728,-0.279245,3536.918
1,24,50503.2924,0.376431,0.547981,3536.528
1,10,123373.7841,0.012659,-0.233399,1247.287
1,20,60643.2776,8.4e-05,-0.856164,1.356
1,19,64463.0934,0.90253,0.234228,7427.424
1,20,60863.6644,0.000124,0.570179,4.386
1,18,67599.9366,0.320086,0.999008,10.158
1,8,150180.8627,0.90985,0.987713,3255.647
1,11,110073.7915,0.077504,-0.444412,5077.3855
1,20,61760.8776,0.027224,0.984194,11.167
1,7,3794.7572,0.758735,-0.104116,1767.8695
1,24,52129.0995,0.398978,0.670077,4556.801
1,20,61958.3602,0.049143,-0.027015,2.251
1,22,51038.2707,0.365703,0.490719,2563.151
1,6,204279.1398,0.889163,-0.121187,147401.571
1,9,52804.0949,1.067558,0.69198,10713.4865
1,22,56136.3695,0.604857,0.269501,9551.941
1,20,61953.2667,0.035417,0.98967,9.904
1,5,16528.8383,0.624784,-0.100057,7510.413
1,19,65628.8053,0.91451,0.764934,4829.4515
1,23,54413.6837,0.456083,0.350156,3840.545
1,12,63922.6948,0.525207,-0.154036,16447.641
1,11,110437.97,0.060403,-0.00641,6503.1035
1,20,60640.8754,0.000107,0.652429,7.464
1,8,166638.171,0.67751,-0.963598,5413.303
1,5,15646.4378,0.527701,-0.022849,7478.2795
1,20,60640.8114,0.00011,0.594555,7.261
1,12,107703.4914,0.950059,0.923172,13499.675
1,19,66523.9228,0.930543,0.002582,5630.2295
1,7,17038.3698,0.554211,0.182493,6544.8615
1,19,63654.1548,0.070368,0.887384,305.6315
1,11,109574.2261,0.074984,-0.091507,2958.2115
1,25,49980.4501,0.328129,0.310671,7122.469
1,20,62816.2139,0.065027,0.022515,10.776
1,9,138851.1922,0.306487,0.332549,1905.8855
1,19,63871.3047,0.058637,-0.722855,2633.513
1,8,133633.4153,0.844945,0.965739,5830.86
1,11,115048.4446,0.037693,0.2288,2642.231
1,10,49995.5923,0.283534,-0.471018,9272.758
1,19,63295.8942,0.07199,-0.164914,10.2425
1,10,120930.6996,0.035924,0.577104,1405.513
1,20,60641.1975,9.6e-05,0.907911,1.161
1,11,114479.0407,0.030433,0.366266,1184.998
1,5,165853.886,0.867173,0.141659,99086.0815
1,20,63154.9804,0.867492,-0.076169,28528.058
1,5,33047.658,1.2e-05,-0.040467,0.3495
1,20,62859.2049,0.056989,0.903923,119.519
1,11,116477.7011,0.020037,0.428363,1345.725
1,15,85571.0109,0.8318,0.78331,9949.8735
1,19,62452.2829,0.50813,0.290737,10846.7465
1,5,290920.306,1.023391,0.175923,192336.9115
1,8,166767.3771,0.685803,-0.988205,3010.352
1,8,166460.7426,0.684034,-0.977426,4028.409
1,19,57337.8242,0.44373,0.199621,13269.5015
1,47,22742.6534,0.907941,-0.101601,17930.6475
1,7,169855.5073,0.965782,0.144983,112178.6555
1,20,61183.7385,0.03744,-0.751494,8.05
1,21,54352.7272,0.415187,-0.105019,5787.656
1,11,111037.9564,0.049604,0.150554,3523.9575
1,12,96715.3859,1.134419,0.958763,7724.725
1,19,63728.1486,0.050269,-0.85409,2648.459
1,12,105429.5235,0.219208,0.195245,3248.49
1,10,21530.3741,2.828103,0.979951,0.061
1,20,62097.6549,0.023706,0.996445,10.406
1,11,119473.8906,0.03003,-0.207737,2000.937
1,20,63070.0168,0.692767,0.43267,2803.878
1,9,144470.4145,0.75346,0.141809,97508.2485
1,20,60847.3411,0.000117,-0.206621,0.688
1,20,62239.9139,0.03571,0.993226,10.554
1,11,119331.133,2.508937,0.176958,5887.522
1,20,60639.6709,9.9e-05,0.753101,1.761
1,11,109583.375,0.042491,-0.079,1754.7105
1,9,149511.3918,0.749478,-0.014118,114534.573
1,17,74979.9905,0.955508,0.32097,20888.815
1,9,13383.564,0.678639,0.227691,7574.8025
1,23,54284.1583,0.605778,0.445845,3349.2265
1,11,109883.1663,0.087133,-0.267733,3057.6095
1,20,61995.4441,0.037987,-0.645483,333.098
1,11,116274.6147,0.043333,0.091791,4026.937
1,20,56561.0103,0.529566,0.272578,2903.908
1,20,63096.9981,0.912491,0.602903,6624.566
1,18,53210.7986,0.307156,0.156116,10747.801
1,23,54367.7682,0.558358,0.427129,4070.156
1,11,110046.9797,0.078916,0.658688,2682.0615
1,19,63724.7388,0.064137,0.992573,27.0835
1,9,139185.0036,0.304919,-0.316183,2603.44
1,17,73646.7523,1.167991,0.67811,30242.326
1,10,122706.8592,0.044194,-0.671286,979.489
1,16,62417.6443,1.457702,0.603753,2403.888
1,11,110160.1789,0.122192,-0.293593,2888.571
1,20,60894.5516,1.347154,0.077819,34474.728
1,10,100008.8119,1.074164,0.662869,40926.279
1,19,66604.8825,0.721163,0.473721,4405.059
1,8,134026.7491,0.838427,0.998478,5126.484
1,24,49466.4845,0.172961,-0.255276,6664.243
1,7,151255.467,1.095093,0.956517,6546.2915
1,11,113305.961,1.138677,0.162759,60550.915
1,46,24711.3229,0.699798,-0.058313,7937.533
1,20,61466.6916,0.024934,-0.694249,8.524
1,19,63449.4488,0.060375,0.999326,11.4515
1,15,84582.4144,1.461169,0.588678,2968.2085
1,9,106147.3494,0.216046,-0.0973,4211.9515
1,11,103453.6376,0.328259,0.048643,5183.5615
1,22,54699.857,0.577047,0.247105,4152.045
1,22,54618.7993,0.451476,0.11601,10028.051
1,6,50807.2642,0.476089,-0.281578,13104.781
1,5,2488.784,0.590319,0.030373,1377.008
1,11,116999.6994,0.048698,-0.420646,3515.884
1,6,104546.93,0.334988,0.650179,8990.517
1,12,101245.7955,0.329389,-0.273727,3058.052
1,11,116099.9593,0.029211,0.124926,2544.5595
1,20,60973.3161,0.02293,-0.819602,1.226
1,15,85007.2701,1.242522,0.592896,39188.403
1,20,63119.5788,0.065864,0.999134,1.869
1,25,49987.3342,1.443896,0.134683,2036.97
1,9,13555.4461,0.73148,0.253983,8405.0275
1,11,109104.762,0.531288,0.315128,56882.3685
1,11,112286.551,0.09214,0.473387,3000.933
1,11,109555.7791,0.056911,-0.068934,3626.3725
1,8,130975.7383,0.779266,0.593343,62433.137
1,20,60636.1894,0.000234,0.737557,3.34
1,13,96463.9655,1.161354,-0.678013,31599.634
1,5,30210.4555,0.000512,0.759895,1.6305
1,17,66065.9383,0.662594,0.221835,12215.2325
1,10,128215.7558,0.870901,0.741588,62409.706
1,20,61622.6556,0.046819,-0.24231,9.145
1,11,115250.591,0.036861,-0.481597,2843.8775
1,32,38358.6349,0.277591,0.999741,150.658
1,11,114185.4426,0.027375,-0.041536,2753.8315
1,10,133296.6266,1.291373,0.532696,33541.169
1,60,17581.5864,0.322357,-0.146063,3332.79
1,10,12195.4751,2.017788,-0.303819,2702.673
1,11,110694.5021,0.219242,0.043004,10091.692
1,11,111511.5401,0.125554,-0.209928,2760.642
1,7,62206.4213,0.520969,0.032413,14621.262
1,12,81606.8315,0.526629,-0.159278,35751.316
1,35,34775.2284,0.206165,0.352071,1699.3965
1,27,45602.6212,1.480117,0.429826,1642.835
1,10,46100.2367,2.590043,0.278659,2638.802
1,19,66510.3836,0.603461,0.667614,7576.4025
1,11,115173.7332,0.057799,0.30305,2548.5835
1,20,63118.59,0.903178,0.243994,3963.877
1,24,51206.4875,0.284345,0.389256,6933.216
1,11,118369.7352,0.047115,0.279925,4490.895
1,8,166618.8123,0.680438,-0.994077,2365.569
1,24,52172.9604,0.337019,0.309649,5659.78
1,20,62431.1629,0.057671,0.774109,2.718
1,11,115908.7297,0.058953,-0.184096,6087.199
1,7,153982.4327,0.950999,0.946335,38237.803
1,17,55734.9243,1.465304,-0.942759,28311.199
1,19,64023.5633,0.071595,0.997416,10.312
1,14,29006.7758,2.354411,0.199434,3481.026
1,19,65275.438,0.286199,0.213602,14.749
1,10,123498.5263,0.016568,-0.441635,1757.433
1,13,93335.7584,1.119994,0.118673,22262.673
1,12,93119.0483,1.100716,0.720477,21575.497
1,8,133927.7137,1.179608,0.985772,2834.617
1,11,111972.9783,0.041325,0.044002,3330.141
1,10,131344.9373,1.071604,0.132062,49031.196
1,8,133526.0429,0.854188,0.99642,1731.107
1,11,105042.6464,1.110374,0.947492,15370.364
1,5,225891.0675,0.70407,0.087016,127733.3395
1,10,103740.356,0.988269,0.980302,4909.149
1,11,119206.2784,0.018592,-0.273312,1311.395
1,5,226317.9607,1.503587,0.785218,26565.693
1,24,50353.8172,0.63242,0.106791,14064.637
1,14,28905.4021,2.537857,0.178329,3865.909
1,8,135621.6449,0.779975,0.81888,27337.891
1,19,64412.962,0.084547,0.981478,170.0245
1,10,127322.7282,0.794277,0.771378,22234.379
1,11,112002.5868,0.048651,-0.690854,1763.527
1,11,112783.9349,0.038264,-0.600031,2999.8605
1,16,70525.8933,1.298254,0.764396,7573.07
1,7,3659.1238,0.794399,0.052965,1539.326
1,20,61193.9604,0.668654,0.732856,7909.475
1,11,113207.7616,0.040397,-0.236644,3433.4935
1,23,52566.4287,0.559753,0.547156,2048.416
1,28,32959.6005,0.085785,0.422909,1338.391
1,5,15770.3613,0.536042,-0.017313,7712.2265
1,6,19565.0014,0.121514,-0.158673,2071.724
1,19,64414.7896,0.923132,0.429302,6411.781
1,6,98043.7944,0.342758,-0.603042,8390.191
1,10,119789.534,0.045857,-0.103607,1601.409
1,18,65237.828,0.807303,0.691089,3084.963
1,12,33615.1905,0.107308,-0.836737,579.3
1,8,144290.688,2.161134,-0.615455,991.287
1,17,74856.5425,1.469716,-0.1214,15769.9755
1,15,84043.529,1.399172,0.874954,14792.614
1,5,117008.718,0.02677,0.121973,2303.412
1,21,55688.7101,0.683598,0.433939,5481.7585
1,9,149794.415,0.751918,-0.000604,113133.927
1,20,62120.1853,0.057256,-0.689808,9.29
1,11,112190.8177,0.029621,0.037369,2774.677
1,20,62152.9267,0.057884,-0.542747,1.543
1,15,82321.5099,1.331345,-0.122797,15376.8015
1,12,108550.5053,0.230293,0.799622,1012.396
1,8,49285.0751,0.33841,0.589645,17375.337
1,20,61543.6596,0.044481,-0.238754,8.845
1,5,0.2352,0.054218,0.169811,0.008
1,12,80846.5937,1.304355,0.867689,29265.708
1,27,28086.6406,1.152281,-0.161687,16955.4885
1,11,117962.1981,0.050149,0.630994,2715.225
1,10,126052.9992,1.294946,0.65119,23030.644
1,34,36122.4328,0.387971,-0.991424,9133.635
1,21,56232.048,0.725392,0.145873,18806.8685
1,6,63618.3424,0.008225,-0.902242,99.687
1,11,114623.6753,0.05593,-0.230185,2663.822
1,5,183313.2162,0.071687,0.602886,2717.35
1,20,60862.1844,0.0001,0.857521,9.119
1,20,61786.5623,0.027183,0.98507,9.423
1,20,60863.0738,0.000111,-0.599669,7.939
1,14,90940.121,1.319065,-0.786198,57117.231
1,12,107656.2367,0.970621,0.913659,12706.449
1,20,60878.9918,0.001853,0.538788,10.737
1,11,118183.2073,0.021876,-0.772453,2126.733
1,9,149994.2019,0.76182,-1.70E-05,114318.764
1,19,63295.8136,0.071991,-0.157992,10.706
1,11,118568.8263,0.033939,0.770508,3257.2395
1,21,49678.045,0.400702,0.276069,13065.7875
1,20,62892.9049,0.064388,0.998837,1.087
1,15,85541.1759,1.023266,-0.320578,8957.8995
1,5,3846.5152,0.795734,0.218532,1761.2145
1,15,81811.8969,0.820906,0.190457,17239.4305
1,20,57153.7407,0.470973,0.518014,5234.584
1,19,62485.7874,0.82287,0.203246,3603.3425
1,9,138251.9105,1.010316,0.520399,35619.6135
1,11,111157.1086,0.046311,-0.073649,3242.0235
1,5,12320.739,0.556113,0.905981,201.9535
1,13,99989.1117,1.046242,0.886083,13455.995
1,11,114956.8902,0.037999,-0.130309,3967.298
1,11,113462.5449,0.040419,-0.006663,2769.2135
1,20,62138.1417,0.04677,-0.767314,9.636
1,8,160238.3837,1.043136,0.602422,78112.314
1,6,104648.3368,1.322259,-0.98232,5994.635
1,11,115142.8855,1.066458,0.676346,42158.713
1,10,122091.3282,0.034185,0.906144,1706.261
1,11,117315.1631,0.030829,-0.182989,2095.585
1,11,113965.1353,0.048738,-0.195027,3759.3725
1,16,79986.1298,0.550422,0.908738,481.898
1,16,68357.028,0.941458,0.720056,6272.396
1,10,129657.1654,0.302272,0.469302,2004.381
1,17,35826.6756,0.384162,0.999526,30.562
1,9,113464.1086,1.042393,0.890643,37537.0905
